name,department,college,affiliation
Sharma Thankachan,Computer Science,College of Engineering,Computer Science
Manabu Kurihara,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences
Thomas Theis,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute; Global One Health Academy; N.C. Plant Sciences Initiative
Thomas Theis,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute; Global One Health Academy; N.C. Plant Sciences Initiative
Stephen Porter,"Educational Leadership, Policy, and Human Development",College of Education,"Educational Leadership, Policy, and Human Development"
Paul Umbach,"Educational Leadership, Policy, and Human Development",College of Education,"Educational Leadership, Policy, and Human Development"
Monique Pairis-Garcia,Population Health and Pathobiology,College of Veterinary Medicine,Population Health and Pathobiology; Population Health and Pathobiology; Global One Health Academy
Fernanda Santos,"Food, Bioprocessing, and Nutrition Sciences",College of Agriculture and Life Sciences,"Food, Bioprocessing, and Nutrition Sciences; Global One Health Academy"
Susana Milla-Lewis,Crop and Soil Sciences,College of Agriculture and Life Sciences,Genetics and Genomics Academy; Crop and Soil Sciences; Center for Turfgrass Environmental Research and Education
Jing Zhang,Horticultural Science,College of Agriculture and Life Sciences,Horticultural Science; N.C. Plant Sciences Initiative
Grady Miller,Crop and Soil Sciences,College of Agriculture and Life Sciences,Crop and Soil Sciences; Center for Turfgrass Environmental Research and Education
Valery Scharf,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Joshua Stern,College of Veterinary Medicine Administration,College of Veterinary Medicine,College of Veterinary Medicine Administration
Vijay Shah,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Rachel Cook,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources
Frank Louws,Horticultural Science,College of Agriculture and Life Sciences,Horticultural Science; Global One Health Academy
Alejandra Huerta,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Genetics and Genomics Academy
Grady Miller,Crop and Soil Sciences,College of Agriculture and Life Sciences,Crop and Soil Sciences; Center for Turfgrass Environmental Research and Education
Susana Milla-Lewis,Crop and Soil Sciences,College of Agriculture and Life Sciences,Genetics and Genomics Academy; Crop and Soil Sciences; Center for Turfgrass Environmental Research and Education
Jing Zhang,Horticultural Science,College of Agriculture and Life Sciences,Horticultural Science; N.C. Plant Sciences Initiative
Thomas Theis,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute; Global One Health Academy; N.C. Plant Sciences Initiative
Thomas Theis,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute; Global One Health Academy; N.C. Plant Sciences Initiative
Jason Osborne,Statistics,College of Sciences,Statistics
Craig Yencho,Horticultural Science,College of Agriculture and Life Sciences,Horticultural Science; Genetics and Genomics Academy; Genetic Engineering and Society; Genetic Engineering and Society Center; N.C. Plant Sciences Initiative
Benjamin Reading,Applied Ecology,College of Agriculture and Life Sciences,Applied Ecology; Applied Ecology; Genetics and Genomics Academy; Coastal Resilience and Sustainability Initiative; Global One Health Academy
Srdjan Lukic,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Thomas Theis,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute; Global One Health Academy; N.C. Plant Sciences Initiative
Chris Anson,English,College of Humanities and Social Sciences,English; Communication Rhetoric and Digital Media
Xinxia Peng,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences; Molecular Biomedical Sciences; Molecular Biomedical Sciences; Genetics and Genomics Academy; Comparative Medicine Institute; Coastal Resilience and Sustainability Initiative; Bioinformatics Research Center
Jung-Ying Tzeng,Statistics,College of Sciences,Statistics; Comparative Medicine Institute; Statistics; Genetics and Genomics Academy; Statistics; Center for Human Health and the Environment ; Bioinformatics Research Center
Kimberly Vincent,History,College of Humanities and Social Sciences,History
Steven Vincent,History,College of Humanities and Social Sciences,History
Massimo Iorizzo,Horticultural Science,College of Agriculture and Life Sciences,Horticultural Science; Genetic Engineering and Society; Horticultural Science; Genetic Engineering and Society Center
Jung-Ying Tzeng,Statistics,College of Sciences,Statistics; Comparative Medicine Institute; Statistics; Genetics and Genomics Academy; Statistics; Center for Human Health and the Environment ; Bioinformatics Research Center
Carter Clinton,Biological Sciences,College of Sciences,Biological Sciences; Biological Sciences; Global One Health Academy; Genetics and Genomics Academy
Mihai Diaconeasa,Nuclear Engineering,College of Engineering,Nuclear Engineering; Coastal Resilience and Sustainability Initiative
Mihai Diaconeasa,Nuclear Engineering,College of Engineering,Nuclear Engineering; Coastal Resilience and Sustainability Initiative
Alejandra Huerta,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Genetics and Genomics Academy
Breanne Wylie,Psychology,College of Humanities and Social Sciences,Psychology
Y  Stacy Zhang,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences; Coastal Resilience and Sustainability Initiative"
Martha Burford Reiskind,Biological Sciences,College of Sciences,Biological Sciences; Biological Sciences; Genetics and Genomics Academy; Biological Sciences; Genetic Engineering and Society; Genetic Engineering and Society Center; Global One Health Academy; Biological Sciences
Michael Reiskind,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Genetic Engineering and Society; Entomology and Plant Pathology; Genetics and Genomics Academy; Comparative Medicine Institute; Global One Health Academy
Thomas Birkland,Political Science & Public Administration [in the School of Public and International Affairs],College of Humanities and Social Sciences,Coastal and Marine Sciences Program; College of Humanities and Social Sciences Administration; College of Humanities and Social Sciences Administration; Global One Health Academy
Valery Scharf,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Emily Berglund,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Center for Geospatial Analytics; Global Water, Sanitation and Hygiene"
Seema Sheth,Plant and Microbial Biology,College of Agriculture and Life Sciences,Plant and Microbial Biology; Plant and Microbial Biology; Genetics and Genomics Academy; KIETS Climate Leaders Program; Global One Health Academy
Sung Woo Kim,Animal Science,College of Agriculture and Life Sciences,Animal Science; Global One Health Academy
Emily Berglund,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Center for Geospatial Analytics; Global Water, Sanitation and Hygiene"
