Name,Affiliation,Topics
Jordan Kern,"Industrial and Systems Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Meagan Kittle Autry,"Civil, Construction & Environmental Engr, COE",
Manuel Kleiner,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Detlef Knappe,"Civil, Construction & Environmental Engr, COE","Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Tom Kon,"Horticultural Sciences, CALS","Data Analytics and Modeling, Genetics and Genomics, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sustainable Ag and Resource Management"
Michael Kudenov,"Electrical & Computer Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Jennifer Kuzma,"School of Public and International Affairs, CHASS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Yuchen Liu,"Computer Science, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Edgar Lobaton,"Electrical & Computer Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Anna Locke,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Terri Long,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Lorena Lopez,"Entomology & Plant Pathology, CALS","Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sustainable Ag and Resource Management"
Frank Louws,"Entomology and Plant Pathology, CALS","Data Analytics and Modeling, Genetics and Genomics, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sustainable Ag and Resource Management"
Tom Makris,"Molecular and Structural Biochem, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Stephen Markham,"Management, Innovation and Entrepreneurship, PCOM","AgTech and Automation, Data Analytics and Modeling, Knowledge Transfer and Outreach, Policy and Society and Economics, Sustainable Ag and Resource Management"
Ross Meentemeyer,"Ctr. for Geospatial Analytics, CNR","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Veena Misra,"Electrical & Computer Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Natalie Nelson,"BAE, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Omer Oralkan,"Electrical & Computer Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Adrian Percy,"Plant & Microbial Biology, CALS",
Kara Peters,"Mechanical & Aerospace Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Josh Pierce,"Chemistry, COS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Lina Quesada O'Campo,"Entomology & Plant Pathology, IR-4",AgTech and Automation
Chris Reberg-Horton,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Rod Rejesus,"Agricultural & Resource Econ, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Rubén Rellán-Álvarez,"Molecular and Structural Biochem, CALS",
Jay Rickabaugh,"Public & International Affairs, CHASS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Jean Ristaino,"Entomology & Plant Pathology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Joe Sagues,"BAE, CALS",Sustainable Ag and Resource Management
Sonja Salmon,"Textile Engineering, Chemistry & Science, WCOT",
Deepti Salvi,"FBNS, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Katie Sanders,"Agriculture & Human Sciences, CALS",
Chadi Sayde,"BAE, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Michelle Schroeder-Moreno,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Heike Sederoff,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Danesha Seth Carley,"Horticultural Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Rohan Shirwaiker,"Industrial and Systems Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Debjani Sihi,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Ross Sozzani,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Katharina Stapelmann,"Nuclear Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Anna Stepanova,"Plant and Microbial Biology, CALS",
David Suchoff,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Jason Swarts,"English, CHASS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Sid Thakur,"Population Health and Pathobiology, CVM","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Thomas Theis,"Chemistry, COS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Kristin Thoney-Barletta,"Textile and Apparel, Technology and Management, WCOT",
Emmanuel Torres Quezada,"Horticultural Sciences, CALS",
